cty,Name,Fraction_Married_rP_gP_pall
cty27041,"Douglas County, MN",0.6172
cty19021,"Buena Vista County, IA",0.6171
cty05129,"Searcy County, AR",0.6171
cty18171,"Warren County, IN",0.617
cty48433,"Stonewall County, TX",0.617
cty39037,"Darke County, OH",0.6169
cty46083,"Lincoln County, SD",0.6169
cty48431,"Sterling County, TX",0.6168
cty46035,"Davison County, SD",0.6167
cty18147,"Spencer County, IN",0.6167
cty08121,"Washington County, CO",0.6167
cty20135,"Ness County, KS",0.6166
cty29179,"Reynolds County, MO",0.6165
cty20067,"Grant County, KS",0.6165
cty19157,"Poweshiek County, IA",0.6165
cty19107,"Keokuk County, IA",0.6162
cty20115,"Marion County, KS",0.6162
cty30001,"Beaverhead County, MT",0.6161
cty27111,"Otter Tail County, MN",0.616
cty21149,"McLean County, KY",0.616
cty19173,"Taylor County, IA",0.6159
cty08111,"San Juan County, CO",0.6159
cty20051,"Ellis County, KS",0.6158
cty46107,"Potter County, SD",0.6157
cty19053,"Decatur County, IA",0.6157
cty29063,"DeKalb County, MO",0.6157
cty20007,"Barber County, KS",0.6157
cty55119,"Taylor County, WI",0.6154
cty48009,"Archer County, TX",0.6152
cty17067,"Hancock County, IL",0.6149
cty29135,"Moniteau County, MO",0.6146
cty29157,"Perry County, MO",0.6146
cty40059,"Harper County, OK",0.6146
cty31019,"Buffalo County, NE",0.6146
cty27135,"Roseau County, MN",0.6145
cty46089,"McPherson County, SD",0.6145
cty21091,"Hancock County, KY",0.6143
cty38095,"Towner County, ND",0.6143
cty56017,"Hot Springs County, WY",0.6143
cty31119,"Madison County, NE",0.6141
cty19097,"Jackson County, IA",0.6141
cty55011,"Buffalo County, WI",0.6138
cty30033,"Garfield County, MT",0.6136
cty48211,"Hemphill County, TX",0.6136
cty18047,"Franklin County, IN",0.6134
cty40007,"Beaver County, OK",0.6133
cty40151,"Woods County, OK",0.6133
cty49007,"Carbon County, UT",0.6131
cty17133,"Monroe County, IL",0.6128
cty19117,"Lucas County, IA",0.6128
cty20095,"Kingman County, KS",0.6127
cty38067,"Pembina County, ND",0.6126
cty30083,"Richland County, MT",0.6126
cty17131,"Mercer County, IL",0.6123
cty19029,"Cass County, IA",0.6122
cty20013,"Brown County, KS",0.6119
cty26063,"Huron County, MI",0.6119
cty31001,"Adams County, NE",0.6117
cty51027,"Buchanan County, VA",0.6116
cty08073,"Lincoln County, CO",0.6116
cty20163,"Rooks County, KS",0.6112
cty27105,"Nobles County, MN",0.6112
cty19073,"Greene County, IA",0.6109
cty16049,"Idaho County, ID",0.6108
cty48425,"Somervell County, TX",0.6106
cty19067,"Floyd County, IA",0.6101
cty21039,"Carlisle County, KY",0.6097
cty27043,"Faribault County, MN",0.6093
cty31057,"Dundy County, NE",0.6092
cty31097,"Johnson County, NE",0.609
cty38061,"Mountrail County, ND",0.6088
cty46029,"Codington County, SD",0.6087
cty17193,"White County, IL",0.6087
cty38059,"Morton County, ND",0.6086
cty29057,"Dade County, MO",0.6085
cty17159,"Richland County, IL",0.6083
cty42105,"Potter County, PA",0.608
cty39051,"Fulton County, OH",0.6079
cty19069,"Franklin County, IA",0.6078
cty27159,"Wadena County, MN",0.6078
cty19087,"Henry County, IA",0.6077
cty19077,"Guthrie County, IA",0.6077
cty37121,"Mitchell County, NC",0.6076
cty19169,"Story County, IA",0.6076
cty20003,"Anderson County, KS",0.6075
cty19047,"Crawford County, IA",0.6074
cty20065,"Graham County, KS",0.6072
cty29137,"Monroe County, MO",0.607
cty19015,"Boone County, IA",0.607
cty30073,"Pondera County, MT",0.6069
cty17069,"Hardin County, IL",0.6068
cty42067,"Juniata County, PA",0.6066
cty20167,"Russell County, KS",0.606
cty27157,"Wabasha County, MN",0.6056
cty39125,"Paulding County, OH",0.6053
cty56031,"Platte County, WY",0.6052
cty38099,"Walsh County, ND",0.6051
cty18159,"Tipton County, IN",0.6049
cty17025,"Clay County, IL",0.6046
cty30021,"Dawson County, MT",0.6046
cty46005,"Beadle County, SD",0.6041
cty29111,"Lewis County, MO",0.604
cty48461,"Upton County, TX",0.604
cty49057,"Weber County, UT",0.6039
cty17023,"Clark County, IL",0.6038
cty55037,"Florence County, WI",0.6036
cty42109,"Snyder County, PA",0.6031
cty29186,"Ste. Genevieve County, MO",0.603
cty17035,"Cumberland County, IL",0.603
cty29121,"Macon County, MO",0.6028
cty46037,"Day County, SD",0.6027
cty47137,"Pickett County, TN",0.6027
cty21175,"Morgan County, KY",0.6023
cty27097,"Morrison County, MN",0.6022
cty21087,"Green County, KY",0.602
cty37011,"Avery County, NC",0.6018
cty18125,"Pike County, IN",0.6018
cty17047,"Edwards County, IL",0.6017
cty19177,"Van Buren County, IA",0.6016
cty31069,"Garden County, NE",0.6016
cty42009,"Bedford County, PA",0.6016
cty20137,"Norton County, KS",0.6015
cty31131,"Otoe County, NE",0.6014
cty46115,"Spink County, SD",0.6013
cty20029,"Cloud County, KS",0.6013
cty19135,"Monroe County, IA",0.6013
cty46013,"Brown County, SD",0.6012
cty19181,"Warren County, IA",0.6011
cty16005,"Bannock County, ID",0.6009
cty21169,"Metcalfe County, KY",0.6009
cty17051,"Fayette County, IL",0.6009
cty48295,"Lipscomb County, TX",0.6007
cty18137,"Ripley County, IN",0.6005
cty18173,"Warrick County, IN",0.6003
cty49037,"San Juan County, UT",0.6
cty55049,"Iowa County, WI",0.5999
cty21177,"Muhlenberg County, KY",0.5997
cty41023,"Grant County, OR",0.5997
cty19001,"Adair County, IA",0.5996
cty27055,"Houston County, MN",0.5993
cty39111,"Monroe County, OH",0.5989
cty29203,"Shannon County, MO",0.5989
cty48081,"Coke County, TX",0.5989
cty19063,"Emmet County, IA",0.5985
cty18007,"Benton County, IN",0.5984
cty20105,"Lincoln County, KS",0.5979
cty46031,"Corson County, SD",0.5978
cty29067,"Douglas County, MO",0.5978
